text,text_bert,text_clasico,sentiment,language,source,n_palabras
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd","Fannie Mae, Freddie Mac downgraded to sell, as analyst cites unintended consequences of CARES Act","fannie mae, freddie mac downgraded sell, analyst cites unintended consequences cares act",negative,en,Twitter Financial News,16
Forescout downgraded to neutral from buy at Monness Crespi Hardt,Forescout downgraded to neutral from buy at Monness Crespi Hardt,forescout downgraded neutral buy monness crespi hardt,negative,en,Twitter Financial News,10
FormFactor cut on 'unsustainable' revenue outlook,FormFactor cut on unsustainable revenue outlook,formfactor cut unsustainable revenue outlook,negative,en,Twitter Financial News,6
Funko downgraded to hold from buy at Stifel Nicolaus,Funko downgraded to hold from buy at Stifel Nicolaus,funko downgraded hold buy stifel nicolaus,negative,en,Twitter Financial News,9
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,Funko stock price target cut to $10 from $25 at Stifel Nicolaus,funko price target cut $10 $25 stifel nicolaus,negative,en,Twitter Financial News,12
GM stock price target cut to $30 from $32 at Deutsche Bank,GM stock price target cut to $30 from $32 at Deutsche Bank,price target cut $30 $32 deutsche bank,negative,en,Twitter Financial News,12
Grubhub gains a bear on margin view,Grubhub gains a bear on margin view,grubhub gains bear margin view,negative,en,Twitter Financial News,7
H&P downgraded at Argus as drilling industry weakness seen persisting,H P downgraded at Argus as drilling industry weakness seen persisting,downgraded argus drilling industry weakness seen persisting,negative,en,Twitter Financial News,10
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,hanesbrands price target cut $13 vs. $16 bofa merrill lynch,negative,en,Twitter Financial News,13
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,Helmerich Payne started at sell with $34 stock price target at Deutsche Bank,helmerich payne started sell $34 price target deutsche bank,negative,en,Twitter Financial News,14
Hexo stock price target cut to C$5 from C$6 at MKM Partners,Hexo stock price target cut to C$5 from C$6 at MKM Partners,hexo price target cut c$5 c$6 mkm partners,negative,en,Twitter Financial News,12
Home Depot stock price target cut to $237 from $240 at Instinet,Home Depot stock price target cut to $237 from $240 at Instinet,home depot price target cut $237 $240 instinet,negative,en,Twitter Financial News,12
Intelsat downgraded to underweight from neutral at J.P. Morgan,Intelsat downgraded to underweight from neutral at J.P. Morgan,intelsat downgraded underweight neutral j.p. morgan,negative,en,Twitter Financial News,9
Intelsat lower after Morgan Stanley target cut,Intelsat lower after Morgan Stanley target cut,intelsat lower morgan stanley target cut,negative,en,Twitter Financial News,7
Jefferies warns on L Brands,Jefferies warns on L Brands,jefferies warns brands,negative,en,Twitter Financial News,5
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,Kohl s stock price target cut to $48 from $52 at Deutsche Bank,kohl price target cut $48 $52 deutsche bank,negative,en,Twitter Financial News,12
Kohl's stock price target cut to $50 from $53 at Wedbush,Kohl s stock price target cut to $50 from $53 at Wedbush,kohl price target cut $50 $53 wedbush,negative,en,Twitter Financial News,11
L Brands stock price target cut to $16 from $20 at Wedbush,L Brands stock price target cut to $16 from $20 at Wedbush,brands price target cut $16 $20 wedbush,negative,en,Twitter Financial News,12
Lovesac stock price target cut to $28 vs. $33 at Canaccord,Lovesac stock price target cut to $28 vs. $33 at Canaccord,lovesac price target cut $28 vs. $33 canaccord,negative,en,Twitter Financial News,11
Lyft stock price target cut to $58 from $70 at Deutsche Bank,Lyft stock price target cut to $58 from $70 at Deutsche Bank,lyft price target cut $58 $70 deutsche bank,negative,en,Twitter Financial News,12
Macerich downgraded to underweight from sector weight at KeyBanc Capital,Macerich downgraded to underweight from sector weight at KeyBanc Capital,macerich downgraded underweight sector weight keybanc capital,negative,en,Twitter Financial News,10
Marinus Pharma stock price target cut to $6 from $7 at Leerink,Marinus Pharma stock price target cut to $6 from $7 at Leerink,marinus pharma price target cut leerink,negative,en,Twitter Financial News,12
Methanex downgraded at TD Securities on valuation,Methanex downgraded at TD Securities on valuation,methanex downgraded securities valuation,negative,en,Twitter Financial News,7
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,metro inc. missed earnings eps looked sad analysts updated models,negative,en,Twitter Financial News,17
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,mid-america apartment communities downgraded sector weight overweight keybanc capital,negative,en,Twitter Financial News,12
Mitek Systems stock price target cut to $11 from $14 at Benchmark,Mitek Systems stock price target cut to $11 from $14 at Benchmark,mitek systems price target cut $11 $14 benchmark,negative,en,Twitter Financial News,12
Napco Security stock price target cut to $30 from $35 at Imperial Capital,Napco Security stock price target cut to $30 from $35 at Imperial Capital,napco security price target cut $30 $35 imperial capital,negative,en,Twitter Financial News,13
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,Needham s Martin Defends Her Prediction That Netflix Subscriptions Will Fall,needham martin defends prediction netflix subscriptions fall,negative,en,Twitter Financial News,10
Netflix downgraded to ‘underperform’ at Needham,Netflix downgraded to underperform at Needham,netflix downgraded underperform needham,negative,en,Twitter Financial News,6
Netflix stock falls after Wells Fargo turns bearish,Netflix stock falls after Wells Fargo turns bearish,netflix falls wells fargo turns bearish,negative,en,Twitter Financial News,8
New Netflix bear steps out,New Netflix bear steps out,new netflix bear steps,negative,en,Twitter Financial News,5
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA","New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA","new york opioid case significant risk pharma stocks, says bearish bofa",negative,en,Twitter Financial News,13
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,Norwegian Cruise Line downgraded to strong sell from hold at CFRA,norwegian cruise line downgraded strong sell hold cfra,negative,en,Twitter Financial News,11
Novo Nordisk downgraded by UBS on concerns over drug launch cost,Novo Nordisk downgraded by UBS on concerns over drug launch cost,novo nordisk downgraded ubs concerns drug launch cost,negative,en,Twitter Financial News,11
Oppenheimer cuts estimates on Yum China,Oppenheimer cuts estimates on Yum China,oppenheimer cuts estimates yum china,negative,en,Twitter Financial News,6
Orbcomm price target lowered to $9 at Canaccord,Orbcomm price target lowered to $9 at Canaccord,orbcomm price target lowered canaccord,negative,en,Twitter Financial News,8
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,O Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,reilly automotive price target cut $405 $415 j.p. morgan,negative,en,Twitter Financial News,13
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,patterson-uti energy started sell price target deutsche bank,negative,en,Twitter Financial News,13
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,business parks downgraded underweight sector weight keybanc capital,negative,en,Twitter Financial News,12
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,Rio Tinto downgraded to neutral from overweight at J.P. Morgan,rio tinto downgraded neutral overweight j.p. morgan,negative,en,Twitter Financial News,10
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production","Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production","rosenblatt projects 47% downside apple shares, warns drop iphone production",negative,en,Twitter Financial News,13
Royal Caribbean downgraded to sell from buy at CFRA,Royal Caribbean downgraded to sell from buy at CFRA,royal caribbean downgraded sell buy cfra,negative,en,Twitter Financial News,9
Royal Caribbean stock price target cut to $100 from $135 at CFRA,Royal Caribbean stock price target cut to $100 from $135 at CFRA,royal caribbean price target cut $100 $135 cfra,negative,en,Twitter Financial News,12
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,Royal Caribbean s stock falls after CFRA swings to bearish on more dire coronavirus assessment,royal caribbean falls cfra swings bearish dire coronavirus assessment,negative,en,Twitter Financial News,14
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,Scandinavian Tobacco Group A S Earnings Missed Analyst Estimates Here s What Analysts Are Forecasting Now,scandinavian tobacco group earnings missed analyst estimates analysts forecasting,negative,en,Twitter Financial News,14
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,Sherwin-Williams cut from Conviction Buy at Goldman on valuation,sherwin-williams cut conviction buy goldman valuation,negative,en,Twitter Financial News,9
Sirius downgraded on valuation,Sirius downgraded on valuation,sirius downgraded valuation,negative,en,Twitter Financial News,4
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth,spotify double downgrade reflects prospect slower revenue growth,negative,en,Twitter Financial News,10
SunTrust latest to trim Nielsen target,SunTrust latest to trim Nielsen target,suntrust latest trim nielsen target,negative,en,Twitter Financial News,6
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,taco bell parent yum brands downgraded neutral buy btig,negative,en,Twitter Financial News,12
Take-Two downgraded on murky game slate,Take-Two downgraded on murky game slate,take-two downgraded murky game slate,negative,en,Twitter Financial News,6
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,take-two interactive price target cut $124 $133 mkm partners,negative,en,Twitter Financial News,13
Target Hospitality downgraded to perform from outperform at Oppenheimer,Target Hospitality downgraded to perform from outperform at Oppenheimer,target hospitality downgraded perform outperform oppenheimer,negative,en,Twitter Financial News,9
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,taubman centers downgraded sector weight overweight keybanc capital,negative,en,Twitter Financial News,11
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price","The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price","manitowoc company, inc. reported earnings, analysts cut target price",negative,en,Twitter Financial News,13
Transocean started at sell with $3 stock price target at Deutsche Bank,Transocean started at sell with $3 stock price target at Deutsche Bank,transocean started sell price target deutsche bank,negative,en,Twitter Financial News,12
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,Ultra Clean downgraded to hold from buy at Stifel Nicolaus,ultra clean downgraded hold buy stifel nicolaus,negative,en,Twitter Financial News,10
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,Wells Fargo Downgrades Netflix NFLX_TICKER to Underperform but sees as a takeover target. NFLX could get acquired NFLX i,wells fargo downgrades netflix nflx_ticker underperform sees takeover target. nflx could get acquired nflx,negative,en,Twitter Financial News,20
Wells Fargo Downgrades Netflix On Spending Concerns,Wells Fargo Downgrades Netflix On Spending Concerns,wells fargo downgrades netflix spending concerns,negative,en,Twitter Financial News,7
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD","Wells Fargo downgrades Netflix If content is king, then cash is queen","wells fargo downgrades netflix content king, cash queen",negative,en,Twitter Financial News,13
Welltower stock price target cut to $90 from $95 at J.P. Morgan,Welltower stock price target cut to $90 from $95 at J.P. Morgan,welltower price target cut $90 $95 j.p. morgan,negative,en,Twitter Financial News,12
WWE stock price target cut to $57 from $79 at Benchmark,WWE stock price target cut to $57 from $79 at Benchmark,wwe price target cut $57 $79 benchmark,negative,en,Twitter Financial News,11
$ALTG: Dougherty & Company starts at Buy,ALTG_TICKER Dougherty Company starts at Buy,altg_ticker dougherty company starts buy,positive,en,Twitter Financial News,7
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,AMD_TICKER - AMD s Navi shows strong adoption - BofA,amd_ticker amd navi shows strong adoption bofa,positive,en,Twitter Financial News,10
$ANCUF: BMO Capital Markets ups to Outperform,ANCUF_TICKER BMO Capital Markets ups to Outperform,ancuf_ticker bmo capital markets ups outperform,positive,en,Twitter Financial News,7
$BHE: Lake Street starts at Buy,BHE_TICKER Lake Street starts at Buy,bhe_ticker lake street starts buy,positive,en,Twitter Financial News,6
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,CNC_TICKER S P Raises Centene Corp. Rtg To BBB- From BB+ Outlk Stable,cnc_ticker raises centene corp. rtg bbb- bb+ outlk stable,positive,en,Twitter Financial News,12
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,DE_TICKER - Citi gives big boost to Deere PT,de_ticker citi gives big boost deere,positive,en,Twitter Financial News,10
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,EBAY_TICKER - Guggenheim sees favorable catalysts for eBay,ebay_ticker guggenheim sees favorable catalysts ebay,positive,en,Twitter Financial News,9
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,FCX_TICKER - Freeport upgraded as Credit Suisse sees big buying opportunity,fcx_ticker freeport upgraded credit suisse sees big buying opportunity,positive,en,Twitter Financial News,12
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,FLXN_TICKER BTIG Research starts at Buy,flxn_ticker btig research starts buy,positive,en,Twitter Financial News,7
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH","FNV_TICKER - Franco-Nevada will not need more funding despite suspensions, analyst says","fnv_ticker franco-nevada need funding despite suspensions, analyst says",positive,en,Twitter Financial News,13
